FID,x,y,lslpts
56,2680229.492569999769330,1158685.220299999928102,1
57,2679212.510420000180602,1158688.677080000052229,1
58,2680074.953619999811053,1158687.926470000064000,1
59,2680260.750000000000000,1158693.750000000000000,1
60,2680173.901039999909699,1158704.812500000000000,1
61,2680111.000000000000000,1158706.250000000000000,1
62,2680179.108820000197738,1158710.850000000093132,1
63,2680264.925259999930859,1158713.039899999974295,1
64,2680220.875000000000000,1158733.449999999953434,1
65,2680213.855260000098497,1158737.750000000000000,1
66,2679355.076919999904931,1158750.692310000071302,1
67,2680193.401020000223070,1158744.583349999971688,1
68,2680328.625000000000000,1158735.000000000000000,1
69,2680328.291759999934584,1158751.700690000085160,1
70,2679367.540060000028461,1158765.669890000019222,1
71,2680225.750000000000000,1158766.500000000000000,1
72,2680189.872950000222772,1158768.061479999916628,1
73,2680205.033580000046641,1158764.649789999937639,1
74,2680343.819999999832362,1158774.750000000000000,1
75,2680364.694060000125319,1158785.218529999954626,1
76,2680372.380679999943823,1158792.482950000092387,1
77,2680624.299999999813735,1158803.800000000046566,1
78,2680359.180559999775141,1158804.236109999939799,1
79,2680417.250000000000000,1158804.750000000000000,1
80,2680373.500000000000000,1158819.750000000000000,1
81,2679390.883719999808818,1158835.000000000000000,1
82,2679396.250000000000000,1158840.250000000000000,1
83,2680651.890350000001490,1158907.039469999959692,1
84,2680191.000000000000000,1158909.500000000000000,1
85,2680472.964290000032634,1158910.607139999978244,1
86,2680589.952130000106990,1158910.143619999988005,1
87,2680513.092110000085086,1158910.635960000101477,1
88,2680208.052980000153184,1158904.750000000000000,1
89,2680211.898149999789894,1158918.898150000022724,1
90,2680204.799019999802113,1158923.297710000071675,1
91,2680493.479999999981374,1158930.750000000000000,1
92,2680554.375000000000000,1158929.500000000000000,1
93,2679244.333329999819398,1158936.138890000060201,1
94,2680645.583329999819398,1158949.361109999939799,1
95,2680467.212960000149906,1158961.101849999977276,1
96,2680614.750000000000000,1158964.500000000000000,1
97,2680625.875000000000000,1158991.250000000000000,1
98,2680504.506829999852926,1158994.230770000023767,1
99,2679553.464589999988675,1158994.756700000027195,1
100,2680748.073530000168830,1159000.823529999936000,1
101,2680660.916670000180602,1159022.041669999947771,1
102,2680449.597829999867827,1159038.402169999899343,1
103,2680600.558509999886155,1159066.281909999903291,1
104,2679338.875000000000000,1159071.000000000000000,1
105,2679611.326919999904931,1159093.311539999907836,1
106,2680493.041670000180602,1159106.090910000028089,1
107,2679399.525739999953657,1159129.209560000104830,1
108,2679423.778570000082254,1159166.107139999978244,1
109,2679435.362149999942631,1159170.503890000050887,1
110,2679443.750000000000000,1159178.500000000000000,1
111,2680605.875000000000000,1159194.500000000000000,1
112,2679387.723679999820888,1159228.144739999901503,1
113,2679396.625000000000000,1159232.750000000000000,1
114,2681327.619820000138134,1159189.794960000086576,1
115,2679411.631819999776781,1159244.559090000111610,1
116,2681047.732350000180304,1159349.395100000081584,1
117,2681341.006060000043362,1159182.236389999976382,1
118,2681799.504100000020117,1159463.266390000004321,1
119,2681069.750000000000000,1159478.844830000074580,1
120,2679584.500000000000000,1159487.750000000000000,1
121,2679105.798570000100881,1159595.158999999985099,1
122,2681486.281210000161082,1159510.000000000000000,1
123,2681536.055159999988973,1159512.250000000000000,1
124,2681789.120970000047237,1159513.975809999974445,1
125,2681486.625000000000000,1159513.000000000000000,1
126,2681488.157889999914914,1159516.434210000094026,1
127,2681520.063490000087768,1159525.091269999975339,1
128,2681509.724739999976009,1159522.200200000079349,1
129,2681513.054349999874830,1159531.010870000114664,1
130,2679140.873050000052899,1159604.533439999911934,1
131,2679408.000000000000000,1159554.750000000000000,1
132,2679035.840379999950528,1159566.713459999999031,1
133,2681560.250000000000000,1159625.250000000000000,1
134,2678019.134889999870211,1159632.271579999942333,1
135,2681556.851090000011027,1159699.859290000051260,1
136,2679713.695780000183731,1159712.804220000049099,1
137,2679720.500000000000000,1159718.000000000000000,1
138,2680110.875000000000000,1159723.696430000010878,1
139,2679902.465689999982715,1159723.694439999992028,1
140,2679683.750000000000000,1159730.394439999945462,1
141,2679698.955879999790341,1159733.328429999994114,1
142,2680132.905989999882877,1159735.973599999910221,1
143,2680145.500000000000000,1159730.750000000000000,1
144,2680153.000000000000000,1159747.000000000000000,1
145,2680152.583329999819398,1159750.388890000060201,1
146,2680197.300629999954253,1159770.705700000049546,1
147,2680154.144230000209063,1159774.384619999909773,1
148,2680160.439189999829978,1159777.385139999911189,1
149,2680173.569999999832362,1159777.023329999996349,1
150,2680166.034810000099242,1159779.743669999996200,1
151,2681646.375000000000000,1159779.750000000000000,1
152,2680208.500000000000000,1159788.500000000000000,1
153,2680196.168599999975413,1159794.040700000012293,1
154,2680127.632720000110567,1159791.532409999985248,1
155,2680139.530979999806732,1159786.304890000028536,1
156,2679602.730769999790937,1159800.923080000095069,1
157,2679910.046550000086427,1159848.800329999998212,1
158,2679623.500000000000000,1159815.750000000000000,1
159,2679685.991380000021309,1159819.456900000106543,1
160,2678026.500000000000000,1159815.250000000000000,1
161,2678023.859999999869615,1159827.340000000083819,1
162,2679670.182289999909699,1159823.258679999969900,1
163,2680097.500000000000000,1159808.000000000000000,1
164,2679698.250000000000000,1159829.250000000000000,1
165,2679683.406250000000000,1159832.500000000000000,1
166,2680254.250000000000000,1159834.250000000000000,1
167,2678883.358700000215322,1159847.423909999895841,1
168,2680080.611450000200421,1159861.818089999957010,1
169,2679615.046300000045449,1159847.851849999977276,1
170,2678349.274509999901056,1159848.651959999930114,1
171,2680203.500000000000000,1159853.750000000000000,1
