FID,x,y,lslpts
56,2633434.396069999784231,1210057.296490000095218,0
57,2631488.424879999831319,1209613.000950000016019,0
58,2633811.374849999789149,1208782.818849999923259,0
59,2630773.379110000096262,1211119.008829999947920,0
60,2631758.271600000094622,1210718.836820000084117,0
61,2633343.126559999771416,1208010.796409999951720,0
62,2633700.824990000110120,1208870.248450000071898,0
63,2628850.951739999931306,1210720.789889999898151,0
64,2631834.915370000060648,1209171.133799999952316,0
65,2634197.554210000205785,1206036.076390000060201,0
66,2631493.557149999774992,1210198.425220000091940,0
67,2632276.167479999829084,1210834.230310000013560,0
68,2634177.312280000187457,1208730.733479999937117,0
69,2632778.918080000206828,1209026.700140000088140,0
70,2629114.772319999989122,1210521.685589999891818,0
71,2628803.880549999885261,1210803.677029999904335,0
72,2634124.981600000057369,1207443.296450000023469,0
73,2630510.614899999927729,1210220.306030000094324,0
74,2630429.889279999770224,1210558.001960000023246,0
75,2630740.283619999885559,1210838.837999999988824,0
76,2633184.755580000113696,1210120.844730000011623,0
77,2634691.214800000190735,1207000.112960000056773,0
78,2633245.012459999881685,1208173.554079999914393,0
79,2630771.277619999833405,1211210.003689999924973,0
80,2631609.610770000144839,1210315.277089999988675,0
81,2634013.353230000007898,1207905.720299999928102,0
82,2628689.979480000212789,1211138.666080000111833,0
83,2631821.683949999976903,1210350.491880000103265,0
84,2629108.365340000018477,1210843.431769999908283,0
85,2632918.916230000089854,1209578.841759999981150,0
86,2633372.862530000042170,1209554.018759999889880,0
87,2631987.022729999851435,1210737.663140000076964,0
88,2631437.844899999909103,1210447.706879999954253,0
89,2631190.589970000088215,1210825.045119999907911,0
90,2633379.017090000212193,1209663.599940000101924,0
91,2632617.015999999828637,1210338.136369999963790,0
92,2629334.557029999792576,1210824.863630000036210,0
93,2630809.877280000131577,1210822.858500000089407,0
94,2633648.662060000002384,1206455.555780000053346,0
95,2633376.478790000081062,1207993.010340000037104,0
96,2632784.364300000015646,1210718.305579999927431,0
97,2629090.066589999943972,1210966.350360000040382,0
98,2634296.317030000034720,1207863.684240000089630,0
99,2632163.582570000085980,1209538.875999999931082,0
100,2634897.165659999940544,1206732.170559999998659,0
101,2631852.017750000115484,1209995.776679999893531,0
102,2631811.543659999966621,1210400.979289999930188,0
103,2629591.506539999973029,1210982.305699999909848,0
104,2634785.639200000092387,1207239.116679999977350,0
105,2630892.764789999928325,1209232.249120000051335,0
106,2632610.332419999875128,1209444.397850000066683,0
107,2632686.371970000211149,1209373.487459999974817,0
108,2630785.793080000206828,1209833.764230000087991,0
109,2634921.868340000044554,1207759.781530000036582,0
110,2634573.808590000029653,1207961.768859999952838,0
111,2628698.564199999906123,1211124.914540000027046,0
112,2633312.757060000207275,1209581.425039999885485,0
113,2632980.764649999793619,1207402.041479999898002,0
114,2632741.384300000034273,1209046.656680000014603,0
115,2630967.878010000102222,1209038.925650000106543,0
116,2631235.758289999794215,1211171.449980000033975,0
117,2632491.793049999978393,1210432.438629999989644,0
118,2628933.462900000158697,1211756.002610000083223,0
119,2628382.465050000231713,1211021.803379999939352,0
120,2633807.767450000159442,1207892.474450000096112,0
121,2631062.773510000202805,1210822.242420000024140,0
122,2633256.183420000132173,1209306.550190000096336,0
123,2628483.715079999994487,1211241.050150000024587,0
124,2630349.811619999818504,1210564.953759999945760,0
125,2632476.724710000213236,1207897.954720000037923,0
126,2629686.459210000000894,1211212.954790000105277,0
127,2632734.312210000120103,1210041.731290000025183,0
128,2629740.206170000135899,1210709.846850000089034,0
129,2633433.215460000094026,1206820.599960000021383,0
130,2633182.187839999794960,1209949.767960000084713,0
131,2630549.009250000119209,1210994.524590000044554,0
132,2630140.588810000102967,1211019.513849999988452,0
133,2633712.719969999976456,1208157.206749999895692,0
134,2631547.407519999891520,1209709.370489999884740,0
135,2629314.980250000022352,1210533.134319999953732,0
136,2628427.115079999901354,1210622.013400000054389,0
137,2629965.521339999977499,1211376.841349999886006,0
138,2629358.889400000218302,1210857.550499999895692,0
139,2631788.491799999959767,1210570.744329999899492,0
140,2634738.367050000000745,1207363.577220000093803,0
141,2634912.479720000177622,1206073.105680000036955,0
142,2633007.195230000186712,1209846.987089999951422,0
143,2628745.197869999799877,1210606.461249999934807,0
144,2632000.171800000127405,1210195.775700000114739,0
145,2629588.055300000123680,1211344.978230000007898,0
146,2630387.070559999905527,1211209.757590000052005,0
147,2631779.778729999903589,1210189.103619999950752,0
148,2631323.867289999965578,1211428.196260000113398,0
149,2633057.856490000151098,1208194.112410000059754,0
150,2628475.698840000201017,1210922.850430000107735,0
151,2630894.115290000103414,1210422.830450000008568,0
152,2629180.930300000123680,1211096.052140000043437,0
153,2633214.297720000147820,1207698.348049999913201,0
154,2630672.879089999943972,1211242.928800000110641,0
155,2631168.679839999880642,1209188.595190000021830,0
156,2632222.980560000054538,1209009.851449999958277,0
157,2633438.906810000073165,1206522.527160000056028,0
158,2632029.734769999980927,1210757.400410000002012,0
159,2630953.788240000139922,1209341.809790000086650,0
160,2631590.639560000039637,1208198.426250000018626,0
161,2632698.004370000213385,1208705.228339999914169,0
162,2634450.476590000092983,1207921.608969999942929,0
163,2630875.113960000220686,1210426.991649999981746,0
164,2633610.888280000071973,1210009.284340000012890,0
165,2632611.181150000076741,1209785.135019999928772,0
166,2632456.180339999962598,1208935.191670000087470,0
167,2634513.126420000102371,1206716.722869999939576,0
168,2632106.160449999850243,1208281.928980000084266,0
169,2630006.393780000042170,1211303.550939999986440,0
