FID,x,y,lslpts
41,2659631.968350000213832,1137914.244329999899492,1
42,2659224.332700000144541,1137916.472340000094846,1
43,2658111.500000000000000,1137917.000000000000000,1
44,2658000.731500000227243,1137958.523329999996349,1
45,2657988.991539999842644,1137964.931090000085533,1
46,2658143.819769999943674,1137966.924420000053942,1
47,2658170.000000000000000,1137976.462139999959618,1
48,2659130.125000000000000,1137985.250000000000000,1
49,2657940.145570000167936,1138053.221519999904558,1
50,2659160.678569999989122,1138051.261429999954998,1
51,2657520.036009999923408,1138067.359450000105426,1
52,2659295.337499999906868,1138066.910579999908805,1
53,2657297.006699999794364,1138087.632049999898300,1
54,2659294.939189999829978,1138085.868239999981597,1
55,2657314.965119999833405,1138098.651159999892116,1
56,2658117.001480000093579,1138114.173080000095069,1
57,2658543.227270000148565,1138138.750000000000000,1
58,2659021.666670000180602,1138139.020830000052229,1
59,2658943.375000000000000,1138212.000000000000000,1
60,2658928.867649999912828,1138212.073529999936000,1
61,2659908.674740000162274,1138228.926539999898523,1
62,2658877.892339999787509,1138237.895990000106394,1
63,2659328.894429999869317,1138248.000000000000000,1
64,2658889.033460000064224,1138251.400540000060573,1
65,2659872.280220000073314,1138258.402549999998882,1
66,2659187.000000000000000,1138259.250000000000000,1
67,2657938.239579999819398,1138262.202079999959096,1
68,2659186.330949999857694,1138268.761900000041351,1
69,2659191.750000000000000,1138282.000000000000000,1
70,2658884.477099999785423,1138276.019619999919087,1
71,2657310.505100000184029,1138303.474489999935031,1
72,2659840.112490000203252,1138304.017659999895841,1
73,2658803.004550000187010,1138323.095449999906123,1
74,2658833.799449999816716,1138324.467949999962002,1
75,2659836.706329999957234,1138330.008480000076815,1
76,2659867.014059999957681,1138338.470339999999851,1
77,2657849.750000000000000,1138347.302630000049248,1
78,2657717.330899999942631,1138332.061609999975190,1
79,2657781.400510000064969,1138345.926019999897107,1
80,2659839.754350000061095,1138351.874220000114292,1
81,2659188.427389999851584,1138353.356589999981225,1
82,2657841.176469999831170,1138351.132350000087172,1
83,2659169.473910000175238,1138347.009469999931753,1
84,2657291.393219999969006,1138337.500000000000000,1
85,2657214.620420000050217,1138361.000000000000000,1
86,2658798.603540000040084,1138356.909089999971911,1
87,2657815.052480000071228,1138360.900399999925867,1
88,2657851.740830000024289,1138361.204129999969155,1
89,2657241.898310000076890,1138366.828029999975115,1
90,2657203.000000000000000,1138366.500000000000000,1
91,2658766.500000000000000,1138368.772730000084266,1
92,2659894.486109999939799,1138368.527779999887571,1
93,2657749.313560000155121,1138366.745760000078008,1
94,2657299.917270000092685,1138373.102179999928921,1
95,2658736.700000000186265,1138371.737500000046566,1
96,2657840.758799999952316,1138375.470380000071600,1
97,2657295.750000000000000,1138378.500000000000000,1
98,2657674.497450000140816,1138380.752989999949932,1
99,2657850.384829999879003,1138377.991570000071079,1
100,2659160.565220000222325,1138384.847830000100657,1
101,2658792.250000000000000,1138387.000000000000000,1
102,2658383.410120000131428,1138383.980990000069141,1
103,2659245.772359999828041,1138402.319840000011027,1
104,2657670.000000000000000,1138409.000000000000000,1
105,2657928.859929999802262,1138412.565600000089034,1
106,2657204.005729999858886,1138413.333970000036061,1
107,2657226.750000000000000,1138416.404129999922588,1
108,2657957.981250000186265,1138428.687500000000000,1
109,2657909.100000000093132,1138430.966669999994338,1
110,2659256.867649999912828,1138431.617649999912828,1
111,2657605.625000000000000,1138446.352309999987483,1
112,2657207.000000000000000,1138445.250000000000000,1
113,2660318.791670000180602,1138448.312500000000000,1
114,2660299.942179999779910,1138446.030479999957606,1
115,2658024.750000000000000,1138459.250000000000000,1
116,2657639.641489999834448,1138459.413829999975860,1
117,2658034.491940000094473,1138469.959680000087246,1
118,2657527.619229999836534,1138475.777209999971092,1
119,2658107.037229999899864,1138476.175529999891296,1
120,2659619.625000000000000,1138475.750000000000000,1
121,2659424.570309999864548,1138480.549679999938235,1
122,2660323.327519999817014,1138478.893410000018775,1
123,2657846.619570000097156,1138491.706520000007004,1
124,2657500.220590000040829,1138492.514710000017658,1
125,2657835.250000000000000,1138495.500000000000000,1
