FID,x,y,lslpts
132,2633891.625000000000000,1207760.500000000000000,1
133,2634841.154250000137836,1207768.101539999945089,1
134,2634914.978780000004917,1207779.293360000010580,1
135,2634127.516999999992549,1207783.287980000022799,1
136,2634909.244950000196695,1207803.116649999981746,1
137,2634876.007699999958277,1207789.552750000031665,1
138,2634087.104160000104457,1207805.775290000019595,1
139,2634922.002580000087619,1207807.110820000059903,1
140,2634840.138890000060201,1207813.935190000105649,1
141,2634042.358620000071824,1207820.926049999892712,1
142,2632950.844940000213683,1207821.101269999984652,1
143,2632945.750000000000000,1207833.250000000000000,1
144,2632938.953519999980927,1207827.756220000097528,1
145,2634583.621789999771863,1207850.513950000051409,1
146,2632314.039470000192523,1207883.276319999946281,1
147,2632280.312500000000000,1207914.593750000000000,1
148,2634230.609939999878407,1207914.948169999988750,1
149,2634272.469409999903291,1207922.839110000059009,1
150,2632181.209999999962747,1207946.889999999897555,1
151,2634630.177529999986291,1207910.725689999992028,1
152,2632184.750000000000000,1207949.000000000000000,1
153,2634621.022929999977350,1207947.240329999942333,1
154,2632166.203040000051260,1207961.175869999919087,1
155,2633480.490650000050664,1207987.737470000050962,1
156,2633491.586629999801517,1207994.046749999979511,1
157,2633431.750000000000000,1208000.500000000000000,1
158,2633472.312719999812543,1208002.424829999916255,1
159,2633521.253639999777079,1208012.939340000040829,1
160,2633500.746309999842197,1208013.218249999918044,1
161,2633479.373649999964982,1208018.113529999973252,1
162,2633488.466450000181794,1208011.983139999909326,1
163,2633455.704599999822676,1208024.580649999901652,1
164,2633467.884480000007898,1208022.315050000092015,1
165,2633478.171279999893159,1208029.517489999998361,1
166,2633491.098689999897033,1208030.338380000088364,1
167,2633496.654959999956191,1208036.446509999921545,1
168,2633083.818179999943823,1208042.681820000056177,1
169,2633512.886940000113100,1208033.054530000081286,1
170,2633246.750000000000000,1208047.250000000000000,1
171,2633507.295619999989867,1208046.527560000075027,1
172,2633491.358760000206530,1208052.379329999908805,1
173,2633416.094089999794960,1208064.911289999959990,1
174,2633461.196849999949336,1208060.000070000067353,1
175,2633537.768769999966025,1208073.260870000114664,1
176,2633352.572009999770671,1208079.901700000045821,1
177,2633435.873070000205189,1208085.038209999911487,1
178,2633345.224359999876469,1208092.488780000014231,1
179,2633778.857119999825954,1208097.154139999998733,1
180,2633481.338800000026822,1208086.838220000034198,1
181,2633389.828129999805242,1208113.890630000038072,1
182,2633128.156979999970645,1208115.122089999960735,1
183,2633678.639049999881536,1208133.895179999992251,1
184,2633674.221150000113994,1208139.519229999976233,1
185,2633680.869609999936074,1208141.156600000103936,1
186,2633676.186939999926835,1208146.545739999972284,1
187,2633886.769009999930859,1208142.679749999893829,1
188,2633677.299500000197440,1208154.873760000104085,1
189,2633670.985290000215173,1208161.426470000064000,1
190,2633961.551159999798983,1208163.186290000099689,1
191,2634524.496619999874383,1208165.328590000048280,1
192,2633801.646120000164956,1208171.750000000000000,1
193,2633797.815220000222325,1208172.880429999902844,1
