FID,x,y,lslpts
105,2770237.187140000052750,1181638.295709999976680,1
106,2770356.294230000115931,1181639.220209999941289,1
107,2768385.462119999807328,1181646.431820000056177,1
108,2770208.384320000186563,1181647.327529999893159,1
109,2769616.000000000000000,1181657.000000000000000,1
110,2768097.019410000182688,1181642.672800000058487,1
111,2769724.189999999944121,1181662.236670000012964,1
112,2769709.661760000046343,1181663.455880000023171,1
113,2768362.421050000004470,1181661.521930000046268,1
114,2770317.000000000000000,1181665.562240000115708,1
115,2769707.000000000000000,1181665.500000000000000,1
116,2768112.007230000104755,1181668.725439999951050,1
117,2769716.000000000000000,1181670.000000000000000,1
118,2769717.803569999989122,1181675.392860000021756,1
119,2774247.821909999940544,1181677.382350000087172,1
120,2768442.283330000005662,1181706.283330000005662,1
121,2769653.750000000000000,1181710.500000000000000,1
122,2769847.429870000109076,1181694.072110000066459,1
123,2767119.981060000136495,1181720.071969999931753,1
124,2769734.000000000000000,1181718.250000000000000,1
125,2769758.482290000189096,1181727.164739999920130,1
126,2770317.382149999961257,1181735.792949999915436,1
127,2769843.198340000119060,1181765.142049999907613,1
128,2769869.793860000092536,1181770.211150000104681,1
129,2769704.125000000000000,1181777.250000000000000,1
130,2769870.509260000195354,1181790.694439999992028,1
131,2769711.199490000028163,1181791.795450000092387,1
132,2768562.086649999953806,1181795.835530000040308,1
133,2768545.653719999827445,1181812.783289999933913,1
134,2769072.598840000107884,1181843.947669999906793,1
135,2769846.625000000000000,1181841.500000000000000,1
136,2769076.228259999770671,1181851.135870000114664,1
137,2770002.875000000000000,1181862.250000000000000,1
138,2769999.500000000000000,1181870.320310000097379,1
139,2769960.625000000000000,1181872.750000000000000,1
140,2769954.716669999994338,1181874.350000000093132,1
141,2770018.778229999821633,1181872.250000000000000,1
142,2769973.586600000038743,1181863.377499999944121,1
143,2769977.375000000000000,1181877.500000000000000,1
144,2773044.250000000000000,1181876.750000000000000,1
145,2770583.469510000199080,1181901.128049999941140,1
146,2770573.691329999826849,1181910.331629999913275,1
147,2771207.923080000095069,1181953.738349999999627,1
148,2770607.492459999863058,1181955.946119999978691,1
149,2770633.914609999861568,1181966.668469999916852,1
150,2770590.985760000068694,1181969.016509999986738,1
151,2771240.883330000098795,1181974.500000000000000,1
152,2770673.698280000127852,1182005.387929999968037,1
153,2770672.409090000204742,1182021.840910000028089,1
