FID,x,y,lslpts
217,2595283.000000000000000,1142873.000000000000000,1
218,2594587.750000000000000,1142874.000000000000000,1
219,2594547.336579999886453,1142874.343069999944419,1
220,2594624.375000000000000,1142878.699999999953434,1
221,2594658.064609999768436,1142875.500000000000000,1
222,2594648.634620000142604,1142884.891030000057071,1
223,2595544.216020000167191,1142890.997569999890402,1
224,2595174.921839999966323,1143002.791010000044480,1
225,2595108.108880000188947,1142898.734440000029281,1
226,2595191.740739999804646,1142911.194439999992028,1
227,2594568.125000000000000,1142945.250000000000000,1
228,2594556.104840000160038,1142948.241940000094473,1
229,2595536.944440000224859,1142954.138890000060201,1
230,2594566.500000000000000,1142952.750000000000000,1
231,2594573.330910000018775,1142986.824689999921247,1
232,2594608.750000000000000,1142951.750000000000000,1
233,2595192.000000000000000,1142962.000000000000000,1
234,2595586.629629999864846,1142965.180560000007972,1
235,2594572.468530000187457,1142902.186010000063106,1
236,2594668.649859999772161,1143072.993969999952242,1
237,2595595.358109999913722,1142969.493239999981597,1
238,2593782.750000000000000,1142970.750000000000000,1
239,2595322.807690000161529,1142974.423080000095069,1
240,2595300.965689999982715,1142974.995099999941885,1
241,2595457.500000000000000,1142979.500000000000000,1
242,2595314.048779999837279,1142979.009150000056252,1
243,2595445.098480000160635,1142982.272730000084266,1
244,2595173.500000000000000,1142987.250000000000000,1
245,2595181.983969999942929,1142988.584939999971539,1
246,2595301.000000000000000,1142995.346150000113994,1
247,2595564.507089999970049,1142990.960050000110641,1
248,2595452.226030000019819,1142994.051370000001043,1
249,2595413.091239999979734,1142980.063989999936894,1
250,2595562.750000000000000,1143003.750000000000000,1
251,2595627.411290000192821,1143005.072579999919981,1
252,2595432.250000000000000,1143008.000000000000000,1
253,2595415.707849999889731,1143008.175289999926463,1
254,2593822.825949999969453,1143008.281650000018999,1
255,2595156.000000000000000,1143011.250000000000000,1
256,2594589.174999999813735,1143010.824999999953434,1
257,2595458.125000000000000,1143007.750000000000000,1
258,2593821.000000000000000,1143012.750000000000000,1
259,2595134.750000000000000,1143008.500000000000000,1
260,2594693.072579999919981,1143014.717739999992773,1
261,2595366.500000000000000,1143013.000000000000000,1
262,2593797.375000000000000,1143014.000000000000000,1
263,2595066.375000000000000,1143015.250000000000000,1
264,2595345.000000000000000,1143014.123769999947399,1
265,2595088.218530000187457,1143017.287460000021383,1
266,2594345.164890000130981,1143026.356380000011995,1
267,2595510.472219999879599,1143026.944439999992028,1
268,2593797.387610000092536,1143026.762229999992996,1
269,2595136.267239999957383,1143029.939659999916330,1
270,2593933.345220000017434,1143013.554199999896809,1
271,2594611.875000000000000,1143031.250000000000000,1
272,2593918.887540000025183,1143034.131250000093132,1
273,2593830.044120000209659,1143033.955880000023171,1
274,2594054.366940000094473,1143032.677420000080019,1
275,2595110.158939999993891,1143020.191039999946952,1
276,2593802.838239999953657,1143036.397060000104830,1
277,2595482.768749999813735,1143036.156250000000000,1
278,2594570.125000000000000,1143038.187500000000000,1
279,2595439.915000000037253,1143027.416939999908209,1
280,2592577.250000000000000,1143039.011900000041351,1
281,2594304.341839999891818,1143039.913269999902695,1
282,2595552.850000000093132,1143039.866669999901205,1
283,2593978.973100000061095,1143149.082930000033230,1
284,2594342.875000000000000,1143037.500000000000000,1
285,2595217.101059999782592,1143041.994680000003427,1
286,2595178.849390000104904,1143017.796670000068843,1
